acc.date,type,reg,operator,fat,location,dmg,acc.year,acc_type
2018-01-29,Shaanxi,30513,People's Liberation Army - Air Force - PLAAF,12.0,"Zhengchang, Suiyang County, Guizhou Province",w/o,2018.0,Fatal
2018-02-01,Airbus,VH-...,Qantas,0.0,"Sydney-Kingsford Smith International Airport, NSW (SYD/YSSY)",non,2018.0,Non-Fatal
2018-02-04,Raytheon,N570TM,"Travel Management, Inc",0.0,"Cleveland-Burke Lakefront Airport, OH (BKL)",sub,2018.0,Non-Fatal
2018-02-10,Boeing,EI-EKI,Ryanair,0.0,Canaries airspace,non,2018.0,Non-Fatal
2018-02-11,Antonov,RA-61704,Saratov Airlines,71.0,"near Stepanovskoye, Ramenskoye district",w/o,2018.0,Fatal
2018-02-13,Airbus,N858NW,Delta Air Lines,0.0,Lagos-Murtala Muhammed International Airport (LOS/DNMM),non,2018.0,Non-Fatal
2018-02-16,Fokker,EP-FQF,Qeshm Air,0.0,Mashhad Airport (MHD),sub,2018.0,Non-Fatal
2018-02-18,ATR,EP-ATS,Iran Aseman Airlines,66.0,15 km NE of Yasuj Airport (YES),w/o,2018.0,Fatal
2018-02-20,McDonnell Douglas,5N-SRI,Dana Air,0.0,Port Harcourt Airport (PHC),sub,2018.0,Non-Fatal
2018-02-21,Cessna,G-BZAH,Army Parachute Association,0.0,Netheravon Airport (EGDN),min,2018.0,Non-Fatal
2018-02-23,Beechcraft,C-GIAE,Island Express Air,0.0,"Abbotsford Airport, BC (YXX/CYXX)",sub,2018.0,Non-Fatal
2018-02-24,Airbus,N817NW,Delta Air Lines,0.0,"Minneapolis, Minnesota",non,2018.0,Non-Fatal
2018-02-26,Beechcraft,C-GJXF,Strait Air,0.0,"Havre-Saint-Pierre Airport, QC (YGV)",sub,2018.0,Non-Fatal
2018-02-28,Airbus,ES-SAN,SmartLynx Airlines Estonia,0.0,Tallinn-Lennart Meri Airport (TLL),sub,2018.0,Non-Fatal
2018-03-01,Beechcraft,YV1909,Unknown,0.0,Charallave-Óscar Machado Zuloaga Airport (SVCS),sub,2018.0,Non-Fatal
2018-03-04,Boeing,9S-ASG,Serve Air,0.0,Lubumbashi International Airport (FBM),sub,2018.0,Non-Fatal
2018-03-06,Antonov,RF-92955/52,Russian Air Force,39.0,"0,5 km from Latakia-Khmeimim Air Base (LTK)",w/o,2018.0,Fatal
2018-03-10,Learjet,N500MP,N500MP LLC,0.0,"Mount Pleasant Municipal Airport, MI (KMOP)",sub,2018.0,Non-Fatal
2018-03-11,Bombardier,TC-TRB,MC Aviation,11.0,130 km SW of Shahr-e Kurd,w/o,2018.0,Fatal
2018-03-12,de Havilland Canada DHC-8-402Q Dash 8,S2-AGU,US-Bangla Airlines,51.0,Kathmandu-Tribhuvan Airport (KTM),w/o,2018.0,Fatal
2018-03-14,Boeing,A6-EGU,Emirates,1.0,Entebbe Airport (EBB/HUEN),non,2018.0,Fatal
2018-03-15,Cessna,VH-PGA,West Coast Air Services,0.0,"Talbot Bay, WA",w/o,2018.0,Non-Fatal
2018-03-15,Beechcraft,YV3284 ?,Unknown,0.0,"near Blue Creek, Orange Walk Town",w/o,2018.0,Non-Fatal
2018-03-16,Beechcraft,N213AV,Ameriflight,0.0,"Hastings Airport, NE (HSI)",sub,2018.0,Non-Fatal
2018-03-17,Canadair,C-FDJA,"Air Canada Express, opb Jazz Aviation",0.0,"Montreal-Pierre Elliott Trudeau International Airport, QC (YUL)",sub,2018.0,Non-Fatal
2018-03-20,de Havilland Canada DHC-6 Twin Otter 300,N716JP,Bald Mountain Air Services,0.0,"225 km N of Deadhorse, AK",sub,2018.0,Non-Fatal
2018-03-21,Gulfstream,N90JE,Peyton Holdings LLC,0.0,"Miami, Florida",non,2018.0,Non-Fatal
2018-03-23,Boeing,OK-TVP,"SmartWings, opf Israir",0.0,Budapest Ferenc Liszt International Airport (BUD/LHBP),non,2018.0,Non-Fatal
